RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,오후 3:00,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
1,Luka DoncicDAL,PG,50,36.5,33.3,11.2,22.2,50.5,2.7,7.8,34.9,8.1,11.1,73,8.8,8.1,1.5,0.5,3.7,27,10
2,Joel EmbiidPHI,C,45,34.9,33.1,11,20.5,53.7,1.1,3.1,35.5,9.9,11.6,85.8,10.2,4.1,1.2,1.5,3.5,29,1
3,Giannis AntetokounmpoMIL,PF,47,33.1,31.8,11.3,21,53.8,0.8,3,27,8.4,13,64.6,12.2,5.4,0.8,0.8,4,35,3
4,Damian LillardPOR,PG,46,36.2,31.4,9.5,20.2,46.7,4.2,11.2,37.2,8.3,9.1,91.6,4.3,7.3,0.8,0.3,3.2,13,1
5,Shai Gilgeous-AlexanderOKC,PG,53,35.4,30.8,10.2,20.1,50.8,0.9,2.6,34.3,9.5,10.5,91.2,4.7,5.7,1.6,1.1,2.9,3,0
6,Jayson TatumBOS,SF,55,37.3,30.6,9.9,21.4,46.4,3.3,9.3,35.7,7.4,8.6,86.4,8.6,4.5,1,0.8,2.9,22,1
7,LeBron JamesLAL,SF,45,36.3,30,11.5,22.6,50.8,2.2,7,31,4.8,6.4,76.2,8.4,7,1,0.6,3.2,16,1
8,Ja MorantMEM,PG,48,32.8,27.3,9.7,20.8,46.6,1.7,5.3,32,6.2,8.5,73.6,6,8.3,1,0.3,3.5,17,5
9,Donovan MitchellCLE,SG,50,35.5,27.3,9.5,19.8,48,3.6,9.4,38.7,4.7,5.3,87.3,4.1,4.9,1.5,0.4,2.7,4,0
10,Kyrie IrvingBKN/DAL,PG,44,37.1,27.2,10,20.3,49,3.3,8.7,37.9,4,4.5,89.3,5.1,5.4,1,0.8,2.3,4,0
11,Trae YoungATL,PG,52,35.4,26.7,8.4,19.7,42.8,2.2,6.7,32.4,7.7,8.7,88.5,2.9,10.3,1,0.2,4.1,30,0
12,Jaylen BrownBOS,SG,48,35.6,26.5,9.9,20.2,48.7,2.5,7.6,33.1,4.3,5.5,77.9,7,3.2,1.1,0.5,3,8,0
13,DeMar DeRozanCHI,SF,53,36.3,25.4,9.1,18,50.7,0.5,1.6,31.8,6.6,7.5,88.1,4.7,5.1,1,0.5,2.2,3,0
14,Pascal SiakamTOR,PF,49,37.7,25.2,9.1,18.8,48.2,1.4,4.1,34.3,5.7,7.5,76.5,7.8,6.1,0.8,0.6,2.6,16,2
15,Anthony EdwardsMIN,SG,61,36.2,24.9,9,19.4,46.4,2.7,7.3,36.4,4.3,5.5,77.6,5.9,4.5,1.6,0.6,3.4,7,0
16,Lauri MarkkanenUTAH,PF,54,34.3,24.9,8.4,16.4,51.3,3,7.4,41.3,5,5.7,87.7,8.6,1.8,0.6,0.6,1.8,22,0
17,De'Aaron FoxSAC,PG,52,34,24.8,9.2,18.2,50.7,1.5,4.7,32.7,4.8,6.1,79.7,4.3,6.2,1.1,0.3,2.7,9,0
18,Julius RandleNY,PF,60,35.9,24.8,8.4,18.2,46,2.7,8,33.8,5.3,7,75.5,10.8,4.1,0.7,0.3,2.8,38,0
19,Nikola JokicDEN,C,51,33.6,24.7,9.4,14.9,63.2,0.8,2.2,39.1,5.1,6.2,82.2,11.5,10.1,1.3,0.7,3.5,41,21
20,Zach LaVineCHI,SG,55,36,24,8.3,17.9,46.5,2.7,7.4,36.9,4.6,5.5,83.6,4.9,4.1,1,0.2,2.6,2,0
21,Jalen BrunsonNY,PG,56,35.1,23.9,8.6,17.7,48.5,1.9,4.6,41.1,4.9,5.9,83.8,3.6,6.2,0.9,0.3,2,4,0
